Restaurant Name,Location,Contact Number/s,Restaurant Type,Rating,Cuisines Available,Most Liked Dishes,Table Booking Facility?
Soda Bottle Opener Wala,Lavelle Road,080 45128763,"Casual Dining, Irani Cafee",4.5 /5,"Parsi, North Indian","Okra, Pancakes, Cocktails, Berry Pulao, Kanda Bhajiya, Brownie Chocolate, Mocktails",Yes
Mainland China,Church Street,080 49652555,"Casual Dining, Bar",4.5 /5,Chinese,"Hunan Tofu, Noodles, Jumbo Prawns, Jasmine Tea, Chicken Momo, Cocktails, Momos",Yes
Cafe Azzure,MG Road,080 49653400,Cafe,4.2 /5,"Cafe, Continental, Italian, Burger","Pasta, Wedges, Pizza, Nachos, Mocktails, Burgers, Thick Shakes",Yes
Cita Pani,Indiranagar,080 49653502,Quick Bites,3.9 /5,"Biryani, North Indian, Arabian","Peri Peri Chicken, Shawarma, Biryani, Rolls",Yes
Laughing Llama Gastropub,Brigade Road,+91 9535029732,"Bar, Casual Dining",4.2 /5,"Finger Food, Continental, Pizza","Pancakes, Cocktails, Biryani, Draught Beer, Long Island Iced Tea, Nachos, Mocktails",Yes
Eden Park,Cunningham Road,080 49652446,Casual Dining,4.1 /5,"Andhra, Biryani, Chinese, North Indian, Seafood, South Indian","Pasta, Bamboo Biryani, Noodles, Chicken Guntur, Andhra Meal, Andhra Style Biryani, Babycorn Manchurian",Yes
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Felix,MG Road,080 22086644,"Casual Dining, Cafe",4.4 /5,"American, Cafe, Continental","Burgers, Sandwiches, Peanut Butter Smoothie, Margherita Pizza, Ravioli, Salad, Cocktails",Yes
Oye Amritsar,Church Street,+91 9036025211,Casual Dining,4.1 /5,North Indian,"Lassi, Aloo Paratha, Jalebi, Palak Paneer, Cheese Naan",Yes
The Twisted Desi,Indiranagar,080 49652900,Casual Dining,0/5,"Continental, Italian, North Indian, Chinese","Vegetable Biryani, Dal Makhani, Matar Methi Malai, Pasta, Rasmalai, Gulab Jamun, Dal Tadka",Yes
The Rice Bowl,Lavelle Road,080 49653104,"Casual Dining, Bar",4.3 /5,"Chinese, Momos","Rice Bowl, Lamb, Chocolava, Rolls, Paneer Manchurian, Momos, Singapore Chicken",Yes
Tandoor,MG Road,080 49652627,Fine Dining,3.9 /5,North Indian,"Mutton Biryani, Dal Makhani, Chicken Malai Tikka, Paneer Makhani, Faluda, Jal-jeera, Cocktails",Yes
Desi Deck,Brigade Road,+91 9962403374,"Casual Dining, Bar",3.9 /5,"Mughlai, North Indian, Desserts","Balti Gosht, Cocktails, Dal Makhani",Yes
Peacock,Indiranagar,080 49653000,Casual Dining,4.0 /5,"North Indian, BBQ, Mughlai","Mutton Roganjosh, Mango Mousse, Sev Puri, Kadai Paneer, Butter Chicken, Vanilla Ice Cream, Mocktails",Yes
The Tao Terraces,MG Road,080 49653408,Casual Dining,3.9 /5,"Thai, Japanese, Korean, Burmese, Chinese","Salads, Cocktails, Khao Suey, Laksa, Jumbo Prawns, Veg Sushi, Espresso Martini",Yes
NoLimmits Lounge and Club,Brigade Road,080 49653274,Club,4.1 /5,"Chinese, Continental, North Indian","Salads, Chicken Bbq Wings, Sandwiches, Pasta, Biryani, Cocktails, Pizza",Yes
The Grill House,Ulsoor,080 40977011,"Casual Dining, Bar",4.1 /5,"American, Mexican, Italian, Steak","Steak, Burgers, Cocktails, Beer, Buffalo Wings, Pasta, Chicken Stroganoff",Yes
Cafe Braqa,Indiranagar,+91 7204874361,Cafe,4.1 /5,"Cafe, Italian, Continental, Beverages","Ginger Tea, Cup Cake, Sandwich, Pasta, Pizza, Cappuccino, Cheese Sticks",Yes
Cobaja,Brigade Road,080 49652180,Casual Dining,4.3 /5,"Seafood, South Indian, Bar Food, Mangalorean, Konkan","Cocktails, Badam Milk, Mutton Liver Fry, Paan Mojito, Neer Dosa, Veg Thali, Mocktails",Yes
ASEAN - On The Edge,MG Road,080 41783366,Casual Dining,4.5 /5,"Asian, Thai","Cocktails, Khao Suey, Mocktails, Salad, Beer, Malacca Curry, Sangria",Yes
Ebony,MG Road,080 41783344,Casual Dining,4.3 /5,"North Indian, South Indian","Appam, Khao Suey, Chicken Biryani, Kebab Platter, Rabri, Prawn, Pad Thai",Yes
Parika Multicuisine Restaurant,Richmond Road,080 49652474,Casual Dining,3.8 /5,"North Indian, Chinese, Mughlai","Tandoori Chicken, Kheer, Chicken Tikka, Butter Naan, Sweet Lassi, Caramel Custard, Panipuri",Yes
Mamma Mexicana,MG Road,+91 9886670606,Casual Dining,2.2 /5,Mexican,"Nachos, Pizza, Margarita, Mushroom Soup, Tacos, Tortilla Soup, Chicken Burritos",Yes
BLOW,Church Street,080 45128771,Cafe,4.3 /5,"Cafe, Continental, American, Burger","Mocktails, Pasta, Burgers, Sandwich, Salsa, Salad, Hazelnut Frappe",Yes
Ging - Royal Orchid Central,MG Road,+91 9902000063,"Bar, Casual Dining",4.4 /5,Asian,"Paneer Satay, Beer, Creme Brulee, Crispy Prawns",Yes
BabaYaga's,Indiranagar,080 43756555,"Bar, Casual Dining",4.0 /5,"American, Finger Food","Masala Fries, Cocktails, Chicken Wings, Beer, Onion Rings, Pizza, Nachos",Yes
Fava,Lavelle Road,080 49652925,"Casual Dining, Bar",4.4 /5,"Healthy Food, Mediterranean, Desserts, Italian, Pizza, Salad, Kebab","Gnocchi, Cocktails, Pizza, Salads, Creme Brulee, Sangria, Pasta",Yes
Double Decker,Brigade Road,080 71967796,"Bar, Casual Dining",4.3 /5,"Continental, North Indian","Bbq Pizza, Pasta, Sangria, Cocktails, Mocktails, Virgin Mojito, Potato Wedges",Yes
The Bangalore Cafe,Shanti Nagar,080 49653314,Casual Dining,4.2 /5,"Modern Indian, North Indian, Pizza, Continental, Beverages","Pasta, Coffee, Chaat, Paneer Pizza, Tawa Pulav, Aloo Biryani, Paratha",Yes
Cafe Mangii,Lavelle Road,+91 8022270098,Casual Dining,4.3 /5,"Italian, Continental, Pizza","Pizza, Pasta, Mocktails, Tiramisu, Mousse, Sangria, Minestrone Soup",Yes
Alchemy - The Chancery Pavilion,Residency Road,080 49653555,"Microbrewery, Casual Dining",4.3 /5,Modern Indian,"Craft Beer, Cocktails, Stout, Chicken Wings, Fish, Brewed Beer, Mysore Pak",Yes
The Bengaluru Brasserie - Hyatt Centric MG Road,Ulsoor,080 49653027,Casual Dining,4.1 /5,"Continental, Asian, North Indian, South Indian","Cocktails, Burgers, Chicken Chunks, Crispy Chicken, Cheesecake",Yes
The Bangalore Cafe,Shanti Nagar,080 49653314,Casual Dining,4.2 /5,"Modern Indian, North Indian, Pizza, Continental, Beverages","Pasta, Coffee, Chaat, Paneer Pizza, Tawa Pulav, Aloo Biryani, Paratha",Yes
Tandoor,MG Road,080 49652627,Fine Dining,3.9 /5,North Indian,"Mutton Biryani, Dal Makhani, Chicken Malai Tikka, Paneer Makhani, Faluda, Jal-jeera, Cocktails",Yes
ASEAN - On The Edge,MG Road,080 41783366,Casual Dining,4.5 /5,"Asian, Thai","Cocktails, Khao Suey, Mocktails, Salad, Beer, Malacca Curry, Sangria",Yes
Ebony,MG Road,080 41783344,Casual Dining,4.3 /5,"North Indian, South Indian","Appam, Khao Suey, Chicken Biryani, Kebab Platter, Rabri, Prawn, Pad Thai",Yes
The 13th Floor,MG Road,080 41783355,Lounge,4.4 /5,"Asian, North Indian, Thai","Cocktails, Lasagne, Mocktails, Martini, Mutton Pepper, Long Island Iced Tea, Mojito",Yes
Yauatcha,MG Road,+91 9222222800,Fine Dining,4.6 /5,"Chinese, Asian, Cantonese, Tea","Dumplings, Noodles, Cocktails, Mocktails, Mango Mascarpone Gateau, Macaroon, Chocolate Hazelnut Mousse",Yes
The Tao Terraces,MG Road,080 49653408,Casual Dining,3.9 /5,"Thai, Japanese, Korean, Burmese, Chinese","Salads, Cocktails, Khao Suey, Laksa, Jumbo Prawns, Veg Sushi, Espresso Martini",Yes
Cafe Azzure,MG Road,080 49653400,Cafe,4.2 /5,"Cafe, Continental, Italian, Burger","Pasta, Wedges, Pizza, Nachos, Mocktails, Burgers, Thick Shakes",Yes
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Felix,MG Road,080 22086644,"Casual Dining, Cafe",4.4 /5,"American, Cafe, Continental","Burgers, Sandwiches, Peanut Butter Smoothie, Margherita Pizza, Ravioli, Salad, Cocktails",Yes
Chianti,MG Road,080 43755274,Casual Dining,4.5 /5,Italian,"Pizza, Seafood Pasta, Panna Cotta, Tiramisu, Lasagne, Ravioli, Virgin Sangria",Yes
Salvadores,MG Road,080 49653001,Fine Dining,4.4 /5,"Mediterranean, Continental, French, Italian","Wine, Salad, Steak, Coffee, Pork Chops",Yes
Ging - Royal Orchid Central,MG Road,+91 9902000063,"Bar, Casual Dining",4.4 /5,Asian,"Paneer Satay, Beer, Creme Brulee, Crispy Prawns",Yes
White Plate,MG Road,080 49653403,"Casual Dining, Bar",4.2 /5,"Thai, Continental, North Indian","Cocktails, Tom Yum Soup, Lobster Bisque, Lobster Risotto, Pulled Pork, Lamb, Asparagus Risotto",Yes
Mamma Mexicana,MG Road,+91 9886670606,Casual Dining,2.2 /5,Mexican,"Nachos, Pizza, Margarita, Mushroom Soup, Tacos, Tortilla Soup, Chicken Burritos",Yes
JW Kitchen - JW Marriott Bengaluru,Lavelle Road,080 49653158,Fine Dining,4.4 /5,"North Indian, Continental, Italian","Pasta, Breakfast Buffet, Lasagne, Salads, Chocolate Cake, Chicken Soup, Seafood Salad",Yes
ShakesBierre,Brigade Road,080 49653253,"Microbrewery, Casual Dining",4.4 /5,"Asian, Continental, European, North Indian","Cocktails, Mocktails, Pizza, Sweet Yogurt, Jujeh Kabab, Burgers, Karela Chaat",Yes
NoLimmits Lounge and Club,Brigade Road,080 49653274,Club,4.1 /5,"Chinese, Continental, North Indian","Salads, Chicken Bbq Wings, Sandwiches, Pasta, Biryani, Cocktails, Pizza",Yes
Fava,Lavelle Road,080 49652925,"Casual Dining, Bar",4.4 /5,"Healthy Food, Mediterranean, Desserts, Italian, Pizza, Salad, Kebab","Gnocchi, Cocktails, Pizza, Salads, Creme Brulee, Sangria, Pasta",Yes
Soda Bottle Opener Wala,Lavelle Road,080 45128763,"Casual Dining, Irani Cafee",4.4 /5,"Parsi, North Indian","Okra, Pancakes, Cocktails, Berry Pulao, Kanda Bhajiya, Brownie Chocolate, Mocktails",Yes
Spice Terrace - JW Marriott,Lavelle Road,080 49653167,"Fine Dining, Microbrewery",4.3 /5,"North Indian, Seafood","Chicken Tikka, Faluda, Raita, Tarkari Biryani, Butter Naan, Fish, Dal Makhani",Yes
Alchemy - The Chancery Pavilion,Residency Road,080 49653555,"Microbrewery, Casual Dining",4.3 /5,Modern Indian,"Craft Beer, Cocktails, Stout, Chicken Wings, Fish, Brewed Beer, Mysore Pak",Yes
Mainland China,Church Street,080 49652555,"Casual Dining, Bar",4.5 /5,Chinese,"Hunan Tofu, Noodles, Jumbo Prawns, Jasmine Tea, Chicken Momo, Cocktails, Momos",Yes
Hae Kum Gang,Brigade Road,080 49652616,Casual Dining,4.4 /5,"Korean, Chinese, Japanese","Sushi, Kimchi, Pork Sizzler, Chicken Donburi, Shrimp Donburi, Crab Roll, Bulgogi",Yes
Double Decker,Brigade Road,080 71967796,"Bar, Casual Dining",4.3 /5,"Continental, North Indian","Bbq Pizza, Pasta, Sangria, Cocktails, Mocktails, Virgin Mojito, Potato Wedges",Yes
Sotally Tober,Residency Road,080 45128814,"Bar, Casual Dining",4.4 /5,"Asian, Burger, Chinese, Finger Food","Cocktails, Sangria, Corn Fritters, Butter Chicken, Paneer Steak, Chicken Steak, Palak Paneer",Yes
Tree Tops Bar & Kitchen,Lavelle Road,080 45128778,"Casual Dining, Bar",4.4 /5,"North Indian, Chinese, Continental, Italian","Cocktails, Peri Peri Chicken Burger, Pasta, Brownie, Jalapeno Poppers, Mocktails, Basil Pesto",Yes
Cubbon Pavilion - ITC Gardenia,Richmond Road,080 22119898,Fine Dining,4.3 /5,"European, Continental, Chinese, Thai","Cocktails, Breakfast Buffet, Croissants, Lassi, Salads, Caramel Cake, Waffles",Yes
Alba - JW Marriott Bengaluru,Lavelle Road,080 49653174,Fine Dining,4.4 /5,Italian,"Pizza, Tiramisu, Pasta, Lobster, Risotto, Panna Cotta, Salad",Yes
Bang - The Ritz-Carlton,Residency Road,080 49148000,Lounge,4.2 /5,Finger Food,"Paneer Roll, Cocktails, Wine, Fiery Chicken, Mexican Platter, Dragon Chicken, Paneer Tikka",Yes
The Spice Bazaar,Lavelle Road,080 49652116,"Casual Dining, Bar",4.2 /5,"North Indian, Mughlai","Brownie, Mutton Seekh, Salads, Rasmalai, Tandoori Aloo, Mutton Soup, Lunch Buffet",Yes
Cafe Noir,Lavelle Road,+91 8040982050,Casual Dining,4.2 /5,"European, French, Salad","Coffee, Sandwiches, Mushroom Pasta, Mocktails, Creme Brulee, Burgers, Salads",Yes
The Rice Bowl,Lavelle Road,080 49653104,"Casual Dining, Bar",4.3 /5,"Chinese, Momos","Rice Bowl, Lamb, Chocolava, Rolls, Paneer Manchurian, Momos, Singapore Chicken",Yes
BLOW,Church Street,080 45128771,Cafe,4.3 /5,"Cafe, Continental, American, Burger","Mocktails, Pasta, Burgers, Sandwich, Salsa, Salad, Hazelnut Frappe",Yes
The Market - The Ritz-Carlton,Residency Road,080 49148341,Fine Dining,4.3 /5,"North Indian, European, Thai","Pizza, Waffles, Roti, Pasta, Sushi, Salads, Fish",Yes
Kebabs & Kurries - ITC Gardenia,Richmond Road,080 22119898,Fine Dining,4.3 /5,"North Indian, Mughlai","Dal Bukhara, Biryani, Fish, Gulab Jamun, Kulfi, Warqi Parantha, Raan",Yes
Cobaja,Brigade Road,080 49652180,Casual Dining,4.3 /5,"Seafood, South Indian, Bar Food, Mangalorean, Konkan","Cocktails, Badam Milk, Mutton Liver Fry, Neer Dosa, Paan Mojito, Veg Thali, Mocktails",Yes
Laughing Llama Gastropub,Brigade Road,+91 9535029732,"Bar, Casual Dining",4.2 /5,"Finger Food, Continental, Pizza","Pancakes, Cocktails, Biryani, Draught Beer, Long Island Iced Tea, Nachos, Mocktails",Yes
Coconut Grove,Church Street,080 25596149,"Casual Dining, Bar",3.9 /5,"South Indian, Chettinad, Kerala, Seafood","Beer, Pepper Chicken, Prawn Curry, Appam, Fry Prawns, Chicken Chettinad, Idiyappam",Yes
Season - Adarsh Hamilton,Richmond Road,080 43595713,Casual Dining,4.3 /5,"North Indian, Chinese, South Indian, Continental","Fish, Pepper Corn, Salads, Mutton Biryani, Lunch Buffet, Apple Pie, Dahi Vada",Yes
Edo Restaurant & Bar - ITC Gardenia,Richmond Road,080 22119898,Fine Dining,4.3 /5,Japanese,"Sushi, Teriyaki Chicken, Oysters, Tiramisu, Chocolate Mousse, Tempura, Salmon",Yes
Riwaz - The Ritz-Carlton,Residency Road,080 49148000,"Fine Dining, Bar",4.2 /5,North Indian,"Tandoori Broccoli, Dal Makhani, Tamatar Ka Shorba, Kadhai Paneer, Raan, Kulfi, Biryani",Yes
Oye Amritsar,Church Street,+91 9036025211,Casual Dining,4.1 /5,North Indian,"Lassi, Aloo Paratha, Jalebi, Palak Paneer, Cheese Naan",Yes
Cafe Mangii,Lavelle Road,+91 8022270098,Casual Dining,4.3 /5,"Italian, Continental, Pizza","Pizza, Pasta, Mocktails, Tiramisu, Mousse, Sangria, Minestrone Soup",Yes
Ithaca - The Chancery Pavilion,Residency Road,+91 9902785566,Fine Dining,3.9 /5,"North Indian, Italian, European, Continental","Salads, Sunday Brunch, Cocktails, Watermelon Juice, Fish, Club Sandwich, Breakfast Buffet",Yes
Ithaca - The Chancery Pavilion,Residency Road,+91 9902785566,Fine Dining,3.9 /5,"North Indian, Italian, European, Continental","Salads, Sunday Brunch, Cocktails, Watermelon Juice, Fish, Club Sandwich, Breakfast Buffet",Yes
Matsuri - The Chancery Hotel,Lavelle Road,080 49652189,"Casual Dining, Bar",4.4 /5,Japanese,"Squid Rings, Udon Noodle, Miso Soup, Tempura Prawns, Sushi Platter, Fish, Egg Custard",Yes
The Bengaluru Brasserie - Hyatt Centric MG Road,Ulsoor,080 49653027,Casual Dining,4.1 /5,"Continental, Asian, North Indian, South Indian","Cocktails, Burgers, Chicken Chunks, Crispy Chicken, Cheesecake",Yes
Lotus Pavilion - ITC Gardenia,Richmond Road,080 22119898,Fine Dining,4.2 /5,Continental,"Salad, Lamb Chops, Beer, Tea, Cappuccino",Yes
Parika Multicuisine Restaurant,Richmond Road,080 49652474,Casual Dining,3.8 /5,"North Indian, Chinese, Mughlai","Tandoori Chicken, Kheer, Chicken Tikka, Butter Naan, Sweet Lassi, Caramel Custard, Panipuri",Yes
The Blackboard Bakery,Lavelle Road,+91 9986706451,"Cafe, Bakery",3.8 /5,"Cafe, Bakery, Continental","Pancakes, Sandwich, Coffee",Yes
Liquid Lounge - Hyatt Centric MG Road,Ulsoor,080 71967683,Lounge,4.1 /5,"Finger Food, Continental, Chinese",Cocktails,Yes
Desi Deck,Brigade Road,+91 9962403374,"Casual Dining, Bar",3.9 /5,"Mughlai, North Indian, Desserts","Balti Gosht, Cocktails, Dal Makhani",Yes
Ottimo - ITC Gardenia,Richmond Road,080 22119898,Fine Dining,4.3 /5,"Italian, Salad","Tiramisu, Bruschettas, Salmon, Chocolate Dessert, King Prawns, Wine, Scallops",Yes
By Chance,Brigade Road,080 49652675,"Pub, Casual Dining",0/5,"North Indian, Continental, Chinese, Italian",Prawn,Yes
eat.fit,Church Street,080 49652510,Quick Bites,4.1 /5,"Cafe, Healthy Food, North Indian, Biryani, Continental, Desserts",Biryani,Yes
KKR FOODIES,St. Marks Road,+91 9620388962,Quick Bites,3.2 /5,"Fast Food, North Indian",Biryani,Yes
The Bangalore Cafe,Shanti Nagar,080 49653314,Casual Dining,4.2 /5,"Modern Indian, North Indian, Pizza, Continental, Beverages","Pasta, Coffee, Chaat, Paneer Pizza, Tawa Pulav, Aloo Biryani, Paratha",Yes
Samarkand,Infantry Road,080 41113366,Casual Dining,4.1 /5,"North Indian, Mughlai","Hyderabadi Biryani, Firni, Kulfi, Lassi, Mutton Biryani, Gosht Dum Biryani, Raan",Yes
1Q1,Infantry Road,080 48050101,"Casual Dining, Bar",4.3 /5,"Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese","Cocktails, Stir Fried Noodles, Cheesecake, Jasmine Rice, Kung Pao Vegetables, Veg Sushi, Octopus Takoyaki",Yes
Eden Park,Cunningham Road,080 49652446,Casual Dining,4.1 /5,"Andhra, Biryani, Chinese, North Indian, Seafood, South Indian","Pasta, Bamboo Biryani, Noodles, Chicken Guntur, Andhra Meal, Andhra Style Biryani, Babycorn Manchurian",Yes
Double Decker,Brigade Road,080 71967796,"Bar, Casual Dining",4.3 /5,"Continental, North Indian","Bbq Pizza, Pasta, Sangria, Cocktails, Mocktails, Virgin Mojito, Potato Wedges",Yes
Alchemy - The Chancery Pavilion,Residency Road,080 49653555,"Microbrewery, Casual Dining",4.3 /5,Modern Indian,"Craft Beer, Cocktails, Stout, Chicken Wings, Fish, Brewed Beer, Mysore Pak",Yes
NoLimmits Lounge and Club,Brigade Road,080 49653274,Club,4.1 /5,"Chinese, Continental, North Indian","Salads, Chicken Bbq Wings, Sandwiches, Pasta, Biryani, Cocktails, Pizza",Yes
The 13th Floor,MG Road,080 41783355,Lounge,4.4 /5,"Asian, North Indian, Thai","Cocktails, Lasagne, Mocktails, Martini, Mutton Pepper, Long Island Iced Tea, Mojito",Yes
White Plate,MG Road,080 49653403,"Casual Dining, Bar",4.2 /5,"Thai, Continental, North Indian","Cocktails, Tom Yum Soup, Lobster Bisque, Lobster Risotto, Pulled Pork, Lamb, Asparagus Risotto",Yes
ShakesBierre,Brigade Road,080 49653253,"Microbrewery, Casual Dining",4.4 /5,"Asian, Continental, European, North Indian","Cocktails, Mocktails, Pizza, Sweet Yogurt, Jujeh Kabab, Burgers, Karela Chaat",Yes
Fava,Lavelle Road,080 49652925,"Casual Dining, Bar",4.4 /5,"Healthy Food, Mediterranean, Desserts, Italian, Pizza, Salad, Kebab","Gnocchi, Cocktails, Pizza, Salads, Creme Brulee, Sangria, Pasta",Yes
Soda Bottle Opener Wala,Lavelle Road,080 45128763,"Casual Dining, Irani Cafee",4.4 /5,"Parsi, North Indian","Okra, Pancakes, Cocktails, Berry Pulao, Kanda Bhajiya, Brownie Chocolate, Mocktails",Yes
Alchemy - The Chancery Pavilion,Residency Road,080 49653555,"Microbrewery, Casual Dining",4.3 /5,Modern Indian,"Craft Beer, Cocktails, Stout, Chicken Wings, Fish, Brewed Beer, Mysore Pak",Yes
Tree Tops Bar & Kitchen,Lavelle Road,080 45128778,"Casual Dining, Bar",4.4 /5,"North Indian, Chinese, Continental, Italian","Cocktails, Peri Peri Chicken Burger, Pasta, Brownie, Jalapeno Poppers, Mocktails, Basil Pesto",Yes
Bang - The Ritz-Carlton,Residency Road,080 49148000,Lounge,4.2 /5,Finger Food,"Paneer Roll, Cocktails, Wine, Fiery Chicken, Mexican Platter, Dragon Chicken, Paneer Tikka",Yes
Laughing Llama Gastropub,Brigade Road,+91 9535029732,"Bar, Casual Dining",4.2 /5,"Finger Food, Continental, Pizza","Pancakes, Cocktails, Biryani, Draught Beer, Long Island Iced Tea, Nachos, Mocktails",Yes
Coconut Grove,Church Street,080 25596149,"Casual Dining, Bar",3.9 /5,"South Indian, Chettinad, Kerala, Seafood","Beer, Pepper Chicken, Prawn Curry, Appam, Fry Prawns, Chicken Chettinad, Idiyappam",Yes
Liquid Lounge - Hyatt Centric MG Road,Ulsoor,080 71967683,Lounge,4.1 /5,"Finger Food, Continental, Chinese",Cocktails,Yes
1Q1,Infantry Road,080 48050101,"Casual Dining, Bar",4.3 /5,"Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese","Cocktails, Stir Fried Noodles, Cheesecake, Jasmine Rice, Kung Pao Vegetables, Veg Sushi, Octopus Takoyaki",Yes
Double Decker,Brigade Road,080 71967796,"Bar, Casual Dining",4.3 /5,"Continental, North Indian","Bbq Pizza, Pasta, Sangria, Cocktails, Mocktails, Virgin Mojito, Potato Wedges",Yes
Sotally Tober,Residency Road,080 45128814,"Bar, Casual Dining",4.4 /5,"Asian, Burger, Chinese, Finger Food","Cocktails, Sangria, Corn Fritters, Butter Chicken, Paneer Steak, Chicken Steak, Palak Paneer",Yes
Ging - Royal Orchid Central,MG Road,+91 9902000063,"Bar, Casual Dining",4.4 /5,Asian,"Paneer Satay, Beer, Creme Brulee, Crispy Prawns",Yes
White Plate,MG Road,080 49653403,"Casual Dining, Bar",4.2 /5,"Thai, Continental, North Indian","Cocktails, Tom Yum Soup, Lobster Bisque, Lobster Risotto, Pulled Pork, Lamb, Asparagus Risotto",Yes
Fava,Lavelle Road,080 49652925,"Casual Dining, Bar",4.4 /5,"Healthy Food, Mediterranean, Desserts, Italian, Pizza, Salad, Kebab","Gnocchi, Cocktails, Pizza, Salads, Creme Brulee, Sangria, Pasta",Yes
Tree Tops Bar & Kitchen,Lavelle Road,080 45128778,"Casual Dining, Bar",4.4 /5,"North Indian, Chinese, Continental, Italian","Cocktails, Peri Peri Chicken Burger, Pasta, Brownie, Jalapeno Poppers, Mocktails, Basil Pesto",Yes
The Spice Bazaar,Lavelle Road,080 49652116,"Casual Dining, Bar",4.2 /5,"North Indian, Mughlai","Brownie, Mutton Seekh, Salads, Rasmalai, Tandoori Aloo, Mutton Soup, Lunch Buffet",Yes
The Rice Bowl,Lavelle Road,080 49653104,"Casual Dining, Bar",4.3 /5,"Chinese, Momos","Rice Bowl, Lamb, Chocolava, Rolls, Paneer Manchurian, Momos, Singapore Chicken",Yes
Laughing Llama Gastropub,Brigade Road,+91 9535029732,"Bar, Casual Dining",4.2 /5,"Finger Food, Continental, Pizza","Pancakes, Cocktails, Biryani, Draught Beer, Long Island Iced Tea, Nachos, Mocktails",Yes
Coconut Grove,Church Street,080 25596149,"Casual Dining, Bar",3.9 /5,"South Indian, Chettinad, Kerala, Seafood","Beer, Pepper Chicken, Prawn Curry, Appam, Fry Prawns, Chicken Chettinad, Idiyappam",Yes
Riwaz - The Ritz-Carlton,Residency Road,080 49148000,"Fine Dining, Bar",4.2 /5,North Indian,"Tandoori Broccoli, Dal Makhani, Tamatar Ka Shorba, Kadhai Paneer, Raan, Kulfi, Biryani",Yes
The Grill House,Ulsoor,080 40977011,"Casual Dining, Bar",4.1 /5,"American, Mexican, Italian, Steak","Steak, Burgers, Cocktails, Beer, Buffalo Wings, Pasta, Chicken Stroganoff",Yes
Matsuri - The Chancery Hotel,Lavelle Road,080 49652189,"Casual Dining, Bar",4.4 /5,Japanese,"Squid Rings, Udon Noodle, Miso Soup, Tempura Prawns, Sushi Platter, Fish, Egg Custard",Yes
Desi Deck,Brigade Road,+91 9962403374,"Casual Dining, Bar",3.9 /5,"Mughlai, North Indian, Desserts","Balti Gosht, Cocktails, Dal Makhani",Yes
1Q1,Infantry Road,080 48050101,"Casual Dining, Bar",4.3 /5,"Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese","Cocktails, Stir Fried Noodles, Cheesecake, Jasmine Rice, Kung Pao Vegetables, Veg Sushi, Octopus Takoyaki",Yes
Chapter One Bar | Maiin,New BEL Road,080 49652764,"Bar, Casual Dining",4.2 /5,"Continental, Italian, North Indian","Chilli Potatoes, Pasta, Pizza, Murgh Ghee Roast, Beer, Cocktails, Roast Chicken",Yes
Hammered,New BEL Road,+91 9590210210,"Pub, Cafe",4.5 /5,"North Indian, Continental, Cafe","Mocktails, Cocktails, Beer, Pasta, Tacos, Pizza, Chicken Tikka Masala",Yes
Burp,New BEL Road,080 49653219,Cafe,4.0 /5,"Cafe, Mexican, Italian, Pizza","Burgers, Chicken Soup, Minestrone Soup, Pasta, Au Gratin, Veggie Pizza, Chicken Burger",Yes
Mughlai Azam,New BEL Road,+91 7619328882,Casual Dining,4.0 /5,"Mughlai, Biryani, North Indian","Dal Makhani, Roti, Adrak Ke Panje, Mocktails, Paratha, Lal Maans, Paneer Malai Tikka",Yes
The Druid Garden,Sahakara Nagar,080 49652121,"Microbrewery, Casual Dining",4.3 /5,"Asian, Continental, European, North Indian, Mediterranean","Beer, Crab Ravioli, Cocktails, Donne Biryani, Chicken Tacos, Tiramisu, Seafood Ravioli",Yes
Hammered,New BEL Road,+91 9590210210,"Pub, Cafe",4.5 /5,"North Indian, Continental, Cafe","Mocktails, Cocktails, Beer, Pasta, Tacos, Pizza, Chicken Tikka Masala",Yes
Burp,New BEL Road,080 49653219,Cafe,4.0 /5,"Cafe, Mexican, Italian, Pizza","Burgers, Chicken Soup, Minestrone Soup, Pasta, Au Gratin, Veggie Pizza, Chicken Burger",Yes
Gilly's Restobar,New BEL Road,080 45128631,"Pub, Casual Dining",4.5 /5,"Continental, Finger Food, North Indian, Chinese","Biryani, Beer, Murgh Platter, Cocktails, Pizza, Burgers, Drunken Chicken",Yes
Chapter One Bar | Maiin,New BEL Road,080 49652764,"Bar, Casual Dining",4.2 /5,"Continental, Italian, North Indian","Chilli Potatoes, Pasta, Pizza, Murgh Ghee Roast, Beer, Cocktails, Roast Chicken",Yes
Hammered,New BEL Road,+91 9590210210,"Pub, Cafe",4.5 /5,"North Indian, Continental, Cafe","Mocktails, Cocktails, Beer, Pasta, Tacos, Pizza, Chicken Tikka Masala",Yes
Burp,New BEL Road,080 49653219,Cafe,4.0 /5,"Cafe, Mexican, Italian, Pizza","Burgers, Chicken Soup, Minestrone Soup, Pasta, Au Gratin, Veggie Pizza, Chicken Burger",Yes
